agent_p1,agent_p2,return_p1,return_p2,error
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,,,An exception of type TimeoutError occurred. Message: Timeout for agent agent
agent,baseline,1.0,-1.0,
baseline,agent,,,An exception of type TimeoutError occurred. Message: Timeout for agent agent
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,,,An exception of type TimeoutError occurred. Message: Timeout for agent agent
baseline,agent,-1.0,1.0,
agent,baseline,,,An exception of type TimeoutError occurred. Message: Timeout for agent agent
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,,,An exception of type TimeoutError occurred. Message: Timeout for agent agent
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,,,An exception of type TimeoutError occurred. Message: Timeout for agent agent
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,,,An exception of type TimeoutError occurred. Message: Timeout for agent agent
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
agent,baseline,1.0,-1.0,
baseline,agent,-1.0,1.0,
