agent_p1,agent_p2,return_p1,return_p2,error
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
0,1,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
1,0,,,An exception of type TypeError occurred. Message: minimax_alphabeta_search() missing 1 required positional argument: 'transposition_table_chains'
